movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Bully,13-07-2001,"Biography,Crime,Drama",108,Larry Clark,"director,writer,actor",1943,alive,6.9,38990,5.234762071,2100000,881824,1381824
Jackass: The Movie,25-10-2002,"Action,Comedy,Documentary",85,Jeff Tremaine,"writer,producer,director",1966,alive,6.6,97091,5.444462048,2000000,64282312,79282312
Courageous,30-09-2011,Drama,130,Alex Kendrick,"actor,writer,producer",1970,alive,6.8,20916,4.84539652,2000000,35017223,35680886
Notorious,15-08-1946,"Drama,Film-Noir,Romance",102,Alfred Hitchcock,"director,producer,writer",1899,1980,7.9,102525,6.574475721,2000000,24464742,24493053
In the Heat of the Night,2/8/1967,"Drama,Mystery,Thriller",110,Norman Jewison,"director,producer,actor",1926,alive,7.9,77950,6.415192353,2000000,24379978,24407647
Sleeper,17-12-1973,"Comedy,Sci-Fi",89,Woody Allen,"writer,director,actor",1935,alive,7.1,43504,5.447541301,2000000,18344729,18344729
Eighth Grade,13-07-2018,"Comedy,Drama",93,Bo Burnham,"actor,writer,soundtrack",1990,alive,7.4,77376,5.99679988,2000000,13539710,14348020
Boys Don't Cry,8/10/1999,"Biography,Crime,Drama",118,Kimberly Peirce,"director,producer,writer",1967,alive,7.5,99323,6.217407233,2000000,11540607,20741000
Lolita,13-06-1962,"Crime,Drama,Romance",153,Stanley Kubrick,"director,writer,producer",1928,1999,7.5,103367,6.239429325,2000000,9250000,9250000
Boom Town,30-08-1940,"Drama,Music,Romance",119,Jack Conway,"director,actor,producer",1887,1952,7.1,3547,4.138056864,2000000,9172000,9172000
Gentleman's Agreement,11/11/1947,"Drama,Romance",118,Elia Kazan,"director,writer,producer",1909,2003,7.2,16867,5.02419793,2000000,7800000,7800000
The Hustler,25-09-1961,"Drama,Sport",134,Robert Rossen,"writer,director,producer",1908,1966,8,83305,6.537173249,2000000,7600000,7600000
Witchboard,31-12-1986,"Horror,Mystery,Thriller",98,Kevin Tenney,"director,writer,producer",1955,alive,5.6,7399,3.538903417,2000000,7369373,7369373
Smoke Signals,26-06-1998,"Comedy,Drama",89,Chris Eyre,"director,producer,miscellaneous",1969,alive,7.2,12006,4.844111241,2000000,6719300,7756617
Meet the Mormons,10/10/2014,Documentary,78,Blair Treu,"director,producer,writer",\N,alive,6.5,2023,3.508680878,2000000,6047363,6049171
American Splendor,15-08-2003,"Biography,Comedy,Drama",101,-,-,-,-,7.4,50584,5.765383695,2000000,6003587,8685632
The Florida Project,6/10/2017,Drama,111,Sean Baker,"writer,producer,director",1971,alive,7.6,117207,6.394642503,2000000,5904366,11275645
All Saints,23-08-2017,Drama,108,Steve Gomer,"director,producer,miscellaneous",\N,alive,6.2,1810,3.289906777,2000000,5802208,5946780
Before Sunset,2/7/2004,"Drama,Romance",80,Richard Linklater,"producer,director,writer",1960,alive,8.1,267961,7.316813437,2000000,5792822,11217346
The Company You Keep,20-12-2012,"Drama,Thriller",125,Robert Redford,"producer,actor,director",1936,alive,6.4,33915,4.780215398,2000000,5132442,21087760
Thirteen,20-08-2003,Drama,100,Catherine Hardwicke,"director,production_designer,producer",1955,alive,6.8,90732,5.579550229,2000000,4601043,9505996
Touching the Void,12/12/2003,"Adventure,Documentary,Drama",106,Kevin Macdonald,"director,producer,writer",1967,alive,8,36582,6.052782911,2000000,4593598,15396525
Inside Job,8/10/2010,"Crime,Documentary",109,Charles Ferguson,"producer,director,writer",1955,alive,8.2,76421,6.651861685,2000000,4311834,7799257
Alexander's Ragtime Band,24-05-1938,"Drama,Music,Musical",106,Henry King,"actor,director,producer",1886,1982,6.9,2176,3.769724694,2000000,4000000,4000000
Me and You and Everyone We Know,17-06-2005,"Comedy,Drama",91,Miranda July,"writer,actress,director",1974,alive,7.2,36732,5.436489428,2000000,3885134,9615464
We Are Your Friends,26-08-2015,"Drama,Music,Romance",96,Max Joseph,"writer,director,editor",\N,alive,6.1,39309,4.616205649,2000000,3591417,10153415
Minari,11/12/2020,Drama,115,Lee Isaac Chung,"director,cinematographer,writer",1978,alive,7.4,83720,6.039703668,2000000,2964816,15474659
Captive,17-09-2015,"Action,Biography,Crime",97,Jerry Jameson,"editorial_department,director,producer",1934,alive,5.4,6987,3.385042781,2000000,2583301,2791973
Full Frontal,2/8/2002,"Comedy,Romance",101,Steven Soderbergh,"producer,director,cinematographer",1963,alive,4.7,11125,3.090000025,2000000,2512846,3438804
Hearts Beat Loud,8/6/2018,"Comedy,Drama,Music",97,Brett Haley,"director,writer,producer",1983,alive,6.9,11186,4.600866165,2000000,2386254,2469510
The Resurrection of Gavin Stone,20-01-2017,"Comedy,Drama,Family",91,Dallas Jenkins,"producer,director,writer",1975,alive,6.2,2354,3.409782155,2000000,2303792,2303792
Waltz with Bashir,25-12-2008,"Animation,Biography,Documentary",90,Ari Folman,"writer,director,soundtrack",1962,alive,8,58500,6.329113576,2000000,2283849,13912289
